Name             ,Year of Birth ,School                     ,Seed Time ,Current Rank ,Heat ,Lane
John Lopez       ,         2005 ,La Salle University        ,    10.86 ,          53 ,   1 ,   1
Brandon Torres   ,         2002 ,La Salle University        ,    11.17 ,          79 ,   1 ,   2
Jacob Martinez   ,         2001 ,University of Pittsburgh   ,    10.33 ,           1 ,   1 ,   3
Brandon Johnson  ,         2000 ,Bucknell University        ,    10.49 ,          14 ,   1 ,   4
Ethan Lee        ,         2000 ,Temple University          ,    11.39 ,          92 ,   1 ,   5
Mark Martinez    ,         2003 ,Temple University          ,    10.73 ,          40 ,   1 ,   6
Jacob Gonzalez   ,         2004 ,La Salle University        ,    10.61 ,          27 ,   1 ,   7
Mark Torres      ,         2005 ,Penn State University      ,    11.01 ,          66 ,   1 ,   8
Noah Johnson     ,         2000 ,Lafayette College          ,    11.02 ,          67 ,   2 ,   1
Ryan Smith       ,         2002 ,West Chester University    ,    11.39 ,          93 ,   2 ,   2
Carlos Garcia    ,         2003 ,Bucknell University        ,    10.78 ,          41 ,   2 ,   3
Jacob Brown      ,         2004 ,Penn State University      ,    10.61 ,          28 ,   2 ,   4
Brandon Rivera   ,         2002 ,Saint Joseph's University  ,    10.5  ,          15 ,   2 ,   5
Alex Brown       ,         2003 ,Bucknell University        ,    11.24 ,          80 ,   2 ,   6
Lucas Anderson   ,         2001 ,Lafayette College          ,    10.34 ,           2 ,   2 ,   7
Chris Anderson   ,         2002 ,Penn State University      ,    10.87 ,          54 ,   2 ,   8
Ethan Garcia     ,         2003 ,La Salle University        ,    10.62 ,          29 ,   3 ,   1
Luis Lopez       ,         2003 ,Villanova University       ,    10.78 ,          42 ,   3 ,   2
Carlos Smith     ,         2002 ,Villanova University       ,    10.35 ,           3 ,   3 ,   3
Alex Martinez    ,         2000 ,Saint Joseph's University  ,    10.51 ,          16 ,   3 ,   4
Brandon Gonzalez ,         2005 ,Lock Haven University      ,    11.03 ,          68 ,   3 ,   5
Jacob Martinez   ,         2004 ,Carnegie Mellon University ,    10.87 ,          55 ,   3 ,   6
Mark Brown       ,         2000 ,Carnegie Mellon University ,    11.25 ,          81 ,   3 ,   7
Ethan Smith      ,         2000 ,Lehigh University          ,    11.39 ,          94 ,   3 ,   8
Chris Garcia     ,         2000 ,Villanova University       ,    10.79 ,          43 ,   4 ,   1
Noah Brown       ,         1999 ,Slippery Rock University   ,    10.35 ,           4 ,   4 ,   2
Lucas Garcia     ,         2002 ,Villanova University       ,    10.63 ,          30 ,   4 ,   3
Luis Lopez       ,         2000 ,La Salle University        ,    11.25 ,          82 ,   4 ,   4
Jacob Torres     ,         1999 ,Bucknell University        ,    11.03 ,          69 ,   4 ,   5
Mark Flores      ,         1999 ,Villanova University       ,    11.39 ,          95 ,   4 ,   6
Noah Garcia      ,         1999 ,Lehigh University          ,    10.9  ,          56 ,   4 ,   7
Ryan Brown       ,         2002 ,Duquesne University        ,    10.52 ,          17 ,   4 ,   8
Brandon Perez    ,         2002 ,Saint Joseph's University  ,    10.64 ,          31 ,   5 ,   1
Noah Brown       ,         2006 ,Penn State University      ,    11.4  ,          96 ,   5 ,   2
Carlos Brown     ,         2000 ,Villanova University       ,    11.25 ,          83 ,   5 ,   3
Chris Martinez   ,         2005 ,Lehigh University          ,    10.8  ,          44 ,   5 ,   4
Noah Anderson    ,         2003 ,Temple University          ,    10.91 ,          57 ,   5 ,   5
Owen Martinez    ,         2002 ,Bucknell University        ,    10.38 ,           5 ,   5 ,   6
Owen Johnson     ,         2003 ,Saint Joseph's University  ,    11.05 ,          70 ,   5 ,   7
Mateo Lee        ,         2004 ,Duquesne University        ,    10.53 ,          18 ,   5 ,   8
Owen Torres      ,         2001 ,La Salle University        ,    11.43 ,          97 ,   6 ,   1
Alex Davis       ,         2005 ,Slippery Rock University   ,    11.06 ,          71 ,   6 ,   2
Alex Rivera      ,         2003 ,Lafayette College          ,    10.81 ,          45 ,   6 ,   3
Carlos Rivera    ,         2004 ,Slippery Rock University   ,    10.68 ,          32 ,   6 ,   4
Ryan Rivera      ,         1999 ,Temple University          ,    10.94 ,          58 ,   6 ,   5
Noah Anderson    ,         2005 ,Temple University          ,    10.54 ,          19 ,   6 ,   6
Alex Lee         ,         2002 ,Penn State University      ,    11.25 ,          84 ,   6 ,   7
Noah Smith       ,         2002 ,Lock Haven University      ,    10.39 ,           6 ,   6 ,   8
Ryan Torres      ,         2006 ,Temple University          ,    11.26 ,          85 ,   7 ,   1
Owen Davis       ,         2001 ,Carnegie Mellon University ,    10.68 ,          33 ,   7 ,   2
Noah Johnson     ,         2004 ,La Salle University        ,    11.43 ,          98 ,   7 ,   3
Mateo Garcia     ,         2000 ,Villanova University       ,    10.95 ,          59 ,   7 ,   4
Owen Martinez    ,         1999 ,Carnegie Mellon University ,    10.82 ,          46 ,   7 ,   5
John Rivera      ,         2004 ,University of Pittsburgh   ,    10.39 ,           7 ,   7 ,   6
Owen Rivera      ,         2002 ,Slippery Rock University   ,    10.57 ,          20 ,   7 ,   7
Brandon Torres   ,         1999 ,Lehigh University          ,    11.06 ,          72 ,   7 ,   8
Carlos Martinez  ,         2005 ,Lehigh University          ,    10.96 ,          60 ,   8 ,   1
Owen Martinez    ,         2005 ,University of Pittsburgh   ,    10.82 ,          47 ,   8 ,   2
Ryan Garcia      ,         2000 ,Lock Haven University      ,    10.39 ,           8 ,   8 ,   3
Alex Gonzalez    ,         2004 ,Duquesne University        ,    11.45 ,          99 ,   8 ,   4
John Davis       ,         2003 ,Penn State University      ,    10.58 ,          21 ,   8 ,   5
Mateo Johnson    ,         2005 ,Bucknell University        ,    10.69 ,          34 ,   8 ,   6
John Davis       ,         1999 ,La Salle University        ,    11.06 ,          73 ,   8 ,   7
Alex Brown       ,         1999 ,La Salle University        ,    11.26 ,          86 ,   8 ,   8
Jacob Lee        ,         1999 ,West Chester University    ,    10.98 ,          61 ,   9 ,   1
Noah Rivera      ,         2005 ,West Chester University    ,    10.58 ,          22 ,   9 ,   2
Jacob Smith      ,         2005 ,Temple University          ,    10.83 ,          48 ,   9 ,   3
Ryan Smith       ,         2006 ,West Chester University    ,    11.47 ,         100 ,   9 ,   4
Chris Martinez   ,         2003 ,University of Pittsburgh   ,    10.7  ,          35 ,   9 ,   5
Ethan Lee        ,         2005 ,Duquesne University        ,    11.28 ,          87 ,   9 ,   6
Carlos Johnson   ,         2001 ,West Chester University    ,    10.43 ,           9 ,   9 ,   7
Ryan Brown       ,         1999 ,Duquesne University        ,    11.08 ,          74 ,   9 ,   8
Luis Perez       ,         1999 ,Lafayette College          ,    11.09 ,          75 ,  10 ,   1
Lucas Torres     ,         2006 ,Lock Haven University      ,    11.31 ,          88 ,  10 ,   2
John Anderson    ,         1999 ,University of Pittsburgh   ,    10.7  ,          36 ,  10 ,   3
Luis Martinez    ,         2004 ,Villanova University       ,    10.83 ,          49 ,  10 ,   4
Alex Flores      ,         2006 ,Bucknell University        ,    11.0  ,          62 ,  10 ,   5
Lucas Garcia     ,         2000 ,Lock Haven University      ,    10.46 ,          10 ,  10 ,   6
Lucas Lopez      ,         2000 ,West Chester University    ,    10.58 ,          23 ,  10 ,   7
Jacob Gonzalez   ,         2002 ,Villanova University       ,    10.47 ,          11 ,  11 ,   1
Noah Davis       ,         1999 ,University of Pittsburgh   ,    11.0  ,          63 ,  11 ,   2
Owen Perez       ,         2006 ,La Salle University        ,    11.09 ,          76 ,  11 ,   3
Ethan Brown      ,         1999 ,Saint Joseph's University  ,    10.84 ,          50 ,  11 ,   4
Carlos Davis     ,         2000 ,La Salle University        ,    10.71 ,          37 ,  11 ,   5
Ethan Gonzalez   ,         2004 ,Saint Joseph's University  ,    10.59 ,          24 ,  11 ,   6
Luis Perez       ,         2004 ,Bucknell University        ,    11.35 ,          89 ,  11 ,   7
Noah Flores      ,         2004 ,Lock Haven University      ,    10.59 ,          25 ,  12 ,   1
Mateo Smith      ,         2003 ,West Chester University    ,    10.71 ,          38 ,  12 ,   2
Mark Davis       ,         2001 ,Lafayette College          ,    11.15 ,          77 ,  12 ,   3
Carlos Martinez  ,         2000 ,Penn State University      ,    11.0  ,          64 ,  12 ,   4
Brandon Garcia   ,         2002 ,La Salle University        ,    10.48 ,          12 ,  12 ,   5
Lucas Smith      ,         2005 ,University of Pittsburgh   ,    10.84 ,          51 ,  12 ,   6
Noah Rivera      ,         2003 ,Villanova University       ,    11.36 ,          90 ,  12 ,   7
Luis Garcia      ,         1999 ,Slippery Rock University   ,    10.71 ,          39 ,  13 ,   1
Brandon Rivera   ,         1999 ,Saint Joseph's University  ,    11.16 ,          78 ,  13 ,   2
Chris Davis      ,         2005 ,Saint Joseph's University  ,    11.0  ,          65 ,  13 ,   3
Luis Lee         ,         2005 ,University of Pittsburgh   ,    10.84 ,          52 ,  13 ,   4
Ryan Davis       ,         2002 ,Penn State University      ,    10.48 ,          13 ,  13 ,   5
Ethan Davis      ,         2005 ,Slippery Rock University   ,    11.37 ,          91 ,  13 ,   6
Alex Anderson    ,         2002 ,Duquesne University        ,    10.61 ,          26 ,  13 ,   7
